Latitude,Longitude,Tributary
49.7425446,18.8835655,Brennica—Skoczów
49.859952,18.8511279,Iłownica
49.8481413,19.0443913,Biała—Czechowice-Dziedzice
49.7691073,19.2034259,Soła
50.0238782,19.4459099,Skawa—Zator
49.9495798,19.8109815,Skawinka—Skawina
50.04141945,19.93712526798246,Wilga—Kraków
50.0394073,20.2110189,Drwinka
49.8911983,20.1425037,Raba
50.7137489,22.3905806,Gróbka
49.9681192,20.6187273,Uszwica
50.05993,20.78929,Kisielina
49.6850673,20.6455015,Dunajec
53.052477,15.7497838,Breń
50.3763966,21.3005414,Brnik
49.8658899,21.4019807,Wisłoka
49.7817475,22.4840404,San
51.142605,22.0530857,Chodelka
51.4118368,22.1678856,Kurówka—Puławy
51.5476993,21.8438594,Wieprz—Dęblin
54.2197423,19.6670184,Okrzejka
51.6495931,20.4491007,Promnik
51.83694305,21.414960108668737,Wilga—Wilga
52.12341815,21.252465573906093,Świder—Otwock
52.2966484,20.9878711,Kanał Żerański—Warsaw
52.5515339,20.0031155,Mołtawa
52.5124814,19.7645439,Słupianka—Płock
52.5425146,19.7682215,Rosica—Płock
52.5647349,19.690123,Brzeźnica—Płock
53.0019051,18.7006987,Drwęca—Toruń
53.1575534,18.7330981,Bacha—Toruń
53.77859,18.03535,Struga
53.4529079,19.0925725,Osa—Grudziądz
53.7516109,19.1085802,Liwa
49.8913943,18.7367313,Knajka—Strumień
49.9957893,18.7873733,Pszczynka
50.0866841,18.9776144,Gostynia
50.1633842,19.2367816,Przemsza—Chełmek
51.3428883,16.5566263,Rudno
50.0608659,19.7198211,Sanka—Kraków
50.1228408,19.7117492,Rudawa—Kraków
50.1035684,19.953603106301202,Prądnik—Kraków
50.0895989,20.0323649,Dłubnia—Kraków
51.9302548,16.0582031,Szreniawa
53.3613838,20.4275719,Nidzica
49.9171995,18.7634908,Strumień
50.6025728,21.5293372,Koprzywianka—Sandomierz
50.736214,21.7812348,Opatówka
51.010369,21.2336941,Kamienna
51.1310597,21.766,Krępianka—Solec nad Wisłą
51.2328771,21.3672773,Iłżanka
51.3291391,21.6375626,Zwoleńka
52.98506,20.69228,Radomka
51.77090035,21.17075318085127,Pilica—Warka
51.9429972,21.1867709,Czarna—Góra Kalwaria
52.3843566,20.1832124,Bzura—Wyszogród
52.4528112,19.4441058,Skrwa Lewa—Płock
52.5105697,18.7869748,Zgłowiączka—Włocławek
51.4383557,17.3626472,Tążyna
53.056101,23.8370742,Zielona
53.12288945,18.001724454197664,Brda—Bydgoszcz
53.4043698,18.44853529374239,Wda—Świecie
54.3498006,18.6593322,Motława—Gdańsk
54.3061458,18.6710501,Radunia—Gdańsk
